filename,replication_factor,consistency,workload,threads,overall_runtime_ms,overall_throughput_ops_sec,read_operations,read_averagelatency_us,read_minlatency_us,read_maxlatency_us,read_95thpercentilelatency_us,read_99thpercentilelatency_us,update_operations,update_averagelatency_us,update_minlatency_us,update_maxlatency_us,update_95thpercentilelatency_us,update_99thpercentilelatency_us,cleanup_operations,cleanup_averagelatency_us,cleanup_minlatency_us,cleanup_maxlatency_us,cleanup_95thpercentilelatency_us,cleanup_99thpercentilelatency_us,insert_operations,insert_averagelatency_us,insert_minlatency_us,insert_maxlatency_us,insert_95thpercentilelatency_us,insert_99thpercentilelatency_us,scan_operations,scan_averagelatency_us,scan_minlatency_us,scan_maxlatency_us,scan_95thpercentilelatency_us,scan_99thpercentilelatency_us,read_modify_write_operations,read_modify_write_averagelatency_us,read_modify_write_minlatency_us,read_modify_write_maxlatency_us,read_modify_write_95thpercentilelatency_us,read_modify_write_99thpercentilelatency_us
ycsb_rf1_linearizable_workloadb_threads8.log,1,linearizable,b,8,554.0,1805.0541516245487,957.0,2293.027168234065,413.0,151679.0,2887.0,7359.0,43.0,4744.558139534884,546.0,149247.0,6923.0,149247.0,8.0,0.125,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_linearizable_workloadc_threads1.log,1,linearizable,c,1,773.0,1293.6610608020699,1000.0,538.942,261.0,64575.0,859.0,1544.0,,,,,,,1.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_linearizable_workloadc_threads128.log,1,linearizable,c,128,958.0,1043.8413361169103,1000.0,63328.892,451.0,340991.0,318207.0,332287.0,,,,,,,128.0,0.0234375,0.0,2.0,0.0,1.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_linearizable_workloadc_threads16.log,1,linearizable,c,16,614.0,1628.6644951140065,1000.0,5607.122,323.0,168447.0,11223.0,165119.0,,,,,,,16.0,0.0625,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_linearizable_workloadc_threads2.log,1,linearizable,c,2,651.0,1536.0983102918588,1000.0,813.714,283.0,85183.0,1190.0,2091.0,,,,,,,2.0,3.0,0.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_linearizable_workloadc_threads256.log,1,linearizable,c,256,1208.0,827.8145695364238,1000.0,150103.382,663.0,440063.0,412671.0,427519.0,,,,,,,256.0,0.03515625,0.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_linearizable_workloadc_threads32.log,1,linearizable,c,32,689.0,1451.3788098693758,1000.0,10993.269,296.0,157695.0,36927.0,153727.0,,,,,,,32.0,0.0625,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_linearizable_workloadc_threads4.log,1,linearizable,c,4,547.0,1828.1535648994516,1000.0,1193.471,306.0,91647.0,1807.0,4049.0,,,,,,,4.0,0.25,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_linearizable_workloadc_threads64.log,1,linearizable,c,64,848.0,1179.245283018868,1000.0,28521.614,382.0,247679.0,226047.0,242815.0,,,,,,,64.0,0.03125,0.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,
ycsb_rf1_linearizable_workloadc_threads8.log,1,linearizable,c,8,548.0,1824.8175182481752,1000.0,2322.988,339.0,143615.0,3083.0,8719.0,,,,,,,8.0,0.125,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
